+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                  0 |  5 |       NEW |     READY |
|                  0 |  5 |     READY |   RUNNING |
|                  1 |  0 |       NEW |     READY |
|                 11 |  5 |   RUNNING |   WAITING |
|                 11 |  0 |     READY |   RUNNING |
|                 15 |  3 |       NEW |     READY |
|                 19 |  5 |   WAITING |     READY |
|                 26 |  0 |   RUNNING |   WAITING |
|                 26 |  3 |     READY |   RUNNING |
|                 29 |  2 |       NEW |     READY |
|                 29 |  0 |   WAITING |     READY |
|                 36 |  7 |       NEW |     READY |
|                 39 |  3 |   RUNNING |   WAITING |
|                 39 |  5 |     READY |   RUNNING |
|                 42 |  3 |   WAITING |     READY |
|                 50 |  5 |   RUNNING |   WAITING |
|                 50 |  2 |     READY |   RUNNING |
|                 58 |  5 |   WAITING |     READY |
|                 62 |  2 |   RUNNING |   WAITING |
|                 62 |  0 |     READY |   RUNNING |
|                 69 |  2 |   WAITING |     READY |
|                 74 |  0 |   RUNNING | TERMINATED |
|                 74 |  7 |     READY |   RUNNING |
|                 75 |  1 |       NEW |     READY |
|                 77 |  7 |   RUNNING |   WAITING |
|                 77 |  3 |     READY |   RUNNING |
|                 79 |  7 |   WAITING |     READY |
|                 90 |  3 |   RUNNING |   WAITING |
|                 90 |  5 |     READY |   RUNNING |
|                 93 |  3 |   WAITING |     READY |
|                 94 |  5 |   RUNNING | TERMINATED |
|                 94 |  2 |     READY |   RUNNING |
|                 95 |  4 |       NEW |     READY |
|                106 |  2 |   RUNNING |   WAITING |
|                106 |  1 |     READY |   RUNNING |
|                109 |  1 |   RUNNING |   WAITING |
|                109 |  7 |     READY |   RUNNING |
|                111 |  1 |   WAITING |     READY |
|                112 |  7 |   RUNNING |   WAITING |
|                112 |  3 |     READY |   RUNNING |
|                113 |  2 |   WAITING |     READY |
|                114 |  7 |   WAITING |     READY |
|                121 |  3 |   RUNNING | TERMINATED |
|                121 |  4 |     READY |   RUNNING |
|                122 |  6 |       NEW |     READY |
|                122 |  4 |   RUNNING | TERMINATED |
|                122 |  1 |     READY |   RUNNING |
|                125 |  1 |   RUNNING |   WAITING |
|                125 |  2 |     READY |   RUNNING |
|                127 |  1 |   WAITING |     READY |
|                132 |  2 |   RUNNING | TERMINATED |
|                132 |  7 |     READY |   RUNNING |
|                135 |  7 |   RUNNING |   WAITING |
|                135 |  6 |     READY |   RUNNING |
|                137 |  7 |   WAITING |     READY |
|                153 |  6 |   RUNNING |   WAITING |
|                153 |  1 |     READY |   RUNNING |
|                156 |  1 |   RUNNING |   WAITING |
|                156 |  7 |     READY |   RUNNING |
|                158 |  1 |   WAITING |     READY |
|                159 |  7 |   RUNNING |   WAITING |
|                159 |  1 |     READY |   RUNNING |
|                161 |  7 |   WAITING |     READY |
|                162 |  1 |   RUNNING |   WAITING |
|                162 |  7 |     READY |   RUNNING |
|                164 |  1 |   WAITING |     READY |
|                165 |  6 |   WAITING |     READY |
|                165 |  7 |   RUNNING |   WAITING |
|                165 |  1 |     READY |   RUNNING |
|                167 |  7 |   WAITING |     READY |
|                168 |  1 |   RUNNING |   WAITING |
|                168 |  6 |     READY |   RUNNING |
|                170 |  1 |   WAITING |     READY |
|                176 |  6 |   RUNNING | TERMINATED |
|                176 |  7 |     READY |   RUNNING |
|                179 |  7 |   RUNNING |   WAITING |
|                179 |  1 |     READY |   RUNNING |
|                181 |  7 |   WAITING |     READY |
|                182 |  1 |   RUNNING |   WAITING |
|                182 |  7 |     READY |   RUNNING |
|                184 |  1 |   WAITING |     READY |
|                185 |  7 |   RUNNING |   WAITING |
|                185 |  1 |     READY |   RUNNING |
|                187 |  7 |   WAITING |     READY |
|                188 |  1 |   RUNNING |   WAITING |
|                188 |  7 |     READY |   RUNNING |
|                190 |  1 |   WAITING |     READY |
|                191 |  7 |   RUNNING |   WAITING |
|                191 |  1 |     READY |   RUNNING |
|                193 |  7 |   WAITING |     READY |
|                194 |  1 |   RUNNING |   WAITING |
|                194 |  7 |     READY |   RUNNING |
|                196 |  1 |   WAITING |     READY |
|                197 |  7 |   RUNNING |   WAITING |
|                197 |  1 |     READY |   RUNNING |
|                198 |  1 |   RUNNING | TERMINATED |
|                199 |  7 |   WAITING |     READY |
|                199 |  7 |     READY |   RUNNING |
|                202 |  7 |   RUNNING |   WAITING |
|                204 |  7 |   WAITING |     READY |
|                204 |  7 |     READY |   RUNNING |
|                207 |  7 |   RUNNING |   WAITING |
|                209 |  7 |   WAITING |     READY |
|                209 |  7 |     READY |   RUNNING |
|                212 |  7 |   RUNNING |   WAITING |
|                214 |  7 |   WAITING |     READY |
|                214 |  7 |     READY |   RUNNING |
|                217 |  7 |   RUNNING |   WAITING |
|                219 |  7 |   WAITING |     READY |
|                219 |  7 |     READY |   RUNNING |
|                220 |  7 |   RUNNING | TERMINATED |
+------------------------------------------------+
